,0
"(28, 5)",10.62
"(28, 17)",6.45
"(28, 18)",6.45
"(28, 19)",22.1583
"(28, 20)",6.45
"(28, 21)",6.45
"(28, 22)",22.1583
"(28, 23)",6.45
"(28, 24)",6.45
"(28, 25)",22.1583
"(28, 26)",6.45
"(28, 27)",6.45
"(28, 28)",0.0
"(28, 29)",0.0
"(28, 30)",0.0
"(28, 31)",0.0
"(28, 32)",0.0
"(28, 33)",22.1583
"(28, 34)",15.6567
"(28, 35)",15.6567
"(28, 36)",15.6567
"(28, 37)",22.1583
"(28, 38)",22.1583
"(28, 39)",15.6567
"(28, 40)",15.6567
"(28, 41)",15.6567
"(28, 42)",22.1583
"(28, 43)",24.245
"(28, 44)",24.245
"(28, 45)",19.025
"(28, 46)",19.025
"(28, 47)",19.025
"(28, 48)",19.025
"(28, 49)",19.025
"(28, 62)",22.1917
"(28, 63)",22.1917
"(28, 64)",22.1583
"(28, 65)",22.1917
"(28, 66)",22.1917
"(28, 67)",22.1583
"(28, 68)",22.1917
"(28, 69)",22.1917
"(28, 70)",22.1583
"(28, 71)",20.1417
"(28, 72)",20.1417
"(28, 73)",20.1417
"(28, 74)",20.1417
"(28, 75)",20.1417
"(28, 96)",6.45
"(28, 97)",6.45
"(28, 98)",6.45
"(29, 0)",22.1583
"(29, 1)",10.62
"(29, 2)",10.62
"(29, 3)",10.62
"(29, 4)",10.62
"(29, 5)",10.62
"(29, 17)",6.45
"(29, 18)",6.45
"(29, 19)",22.1583
"(29, 20)",6.45
"(29, 21)",6.45
"(29, 22)",22.1583
"(29, 23)",6.45
"(29, 24)",6.45
"(29, 25)",22.1583
"(29, 26)",6.45
"(29, 27)",6.45
"(29, 28)",0.0
"(29, 29)",0.0
"(29, 30)",0.0
"(29, 31)",0.0
"(29, 32)",0.0
"(29, 33)",22.1583
"(29, 34)",15.6567
"(29, 35)",15.6567
"(29, 36)",15.6567
"(29, 37)",22.1583
"(29, 38)",22.1583
"(29, 39)",15.6567
"(29, 40)",15.6567
"(29, 41)",15.6567
"(29, 42)",22.1583
"(29, 43)",24.245
"(29, 44)",24.245
"(29, 45)",19.025
"(29, 46)",19.025
"(29, 47)",19.025
"(29, 48)",19.025
"(29, 49)",19.025
"(29, 62)",22.1917
"(29, 63)",22.1917
"(29, 64)",22.1583
"(29, 65)",22.1917
"(29, 66)",22.1917
"(29, 67)",22.1583
"(29, 68)",22.1917
"(29, 69)",22.1917
"(29, 70)",22.1583
"(29, 71)",20.1417
"(29, 72)",20.1417
"(29, 73)",20.1417
"(29, 74)",20.1417
"(29, 75)",20.1417
"(29, 96)",6.45
"(29, 97)",6.45
"(29, 98)",6.45
"(30, 0)",22.1583
"(30, 1)",10.62
"(30, 2)",10.62
"(30, 3)",10.62
"(30, 4)",10.62
"(30, 5)",10.62
"(30, 17)",6.45
"(30, 18)",6.45
"(30, 19)",22.1583
"(30, 20)",6.45
"(30, 21)",6.45
"(30, 22)",22.1583
"(30, 23)",6.45
"(30, 24)",6.45
"(30, 25)",22.1583
"(30, 26)",6.45
"(30, 27)",6.45
"(30, 28)",0.0
"(30, 29)",0.0
"(30, 30)",0.0
"(30, 31)",0.0
"(30, 32)",0.0
"(30, 33)",22.1583
"(30, 34)",15.6567
"(30, 35)",15.6567
"(30, 36)",15.6567
"(30, 37)",22.1583
"(30, 38)",22.1583
"(30, 39)",15.6567
"(30, 40)",15.6567
"(30, 41)",15.6567
"(30, 42)",22.1583
"(30, 43)",24.245
"(30, 44)",24.245
"(30, 45)",19.025
"(30, 46)",19.025
"(30, 47)",19.025
"(30, 48)",19.025
"(30, 49)",19.025
"(30, 62)",22.1917
"(30, 63)",22.1917
"(30, 64)",22.1583
"(30, 65)",22.1917
"(30, 66)",22.1917
"(30, 67)",22.1583
"(30, 68)",22.1917
"(30, 69)",22.1917
"(30, 70)",22.1583
"(30, 71)",20.1417
"(30, 72)",20.1417
"(30, 73)",20.1417
"(30, 74)",20.1417
"(30, 75)",20.1417
